k,1000,800
k,1400,400
k,1750,1800
k,1580,1200
k,2200,2200
u,2000,2400
u,1800,200
u,1000,1600
u,110,1200
u,1400,2000
u,1876,1903
u,207,949
u,667,2380
u,311,768
u,323,1334
u,77,1440
u,1718,892
u,1596,628
u,659,1805
u,1228,101
u,1111,1319
u,1894,926
u,1778,2118
u,790,802
u,1261,598
u,2183,2324
u,750,149
u,588,663
u,1601,55
u,1499,1722
u,1491,2294
u,39,804
u,2400,1000
u,2300,1250
u,2366,2148
u,2125,1330
k,1900,1632
k,1800,1525
k,1700,1300
k,1600,1415
k,1500,1202
k,1432,200
k,1535,900
k,1742,851
k,1805,765
k,1922,696
u,1028,2063
u,2340,300
k,2200,2200
