u,2113,1430
u,1619,1111
u,1971,2066
u,237,1919
u,2378,2423
u,2329,517
u,367,189
u,922,2333
u,1575,2029
u,1395,1424
u,689,1701
u,1413,999
u,667,1478
u,815,1440
u,1672,2281
u,771,497
u,52,1939
u,474,2315
u,1359,1186
u,41,81
u,2248,1494
u,818,1725
u,555,1287
u,928,1929
u,1553,1017
u,1431,838
u,698,149
u,1997,2271
u,1332,1820
u,1924,1039
u,2336,2286
u,1954,1565
u,1050,984
u,1869,831
u,2175,175
u,675,686
u,494,708
u,381,1316
u,415,1586
u,2392,1793
u,2193,34
u,1979,1697
u,1836,1410
u,1150,1009
u,265,677
u,725,24
u,1944,232
u,1842,578
u,547,39
u,1170,438
u,1764,649
u,931,1462
u,1492,153
u,793,808
u,1459,1590
u,1082,2360
u,701,1930
u,2381,1065
u,1580,1251
u,2083,2137
u,764,976
u,2123,2310
u,1289,815
u,620,1776
u,1674,2109
u,2207,2215
u,1210,58
u,1236,196
u,1855,390
u,1527,479
u,1811,2169
u,1246,2058
u,584,2030
u,1005,1086
u,338,2136
u,1790,1975
u,202,1183
u,634,2308
u,1514,26
u,1157,1723
u,1049,463
u,1310,385
u,1640,1590
u,228,1677
u,84,1651
u,553,570
u,2266,2043
u,530,1844
u,1429,1726
u,439,597
u,2292,103
u,131,1063
u,463,972
u,1415,2212
u,1832,258
u,2207,1001
u,449,2120
u,9,326
u,565,891
u,1957,1823
u,717,323
u,2007,667
u,19,2117
u,1854,80
u,1191,1447
u,129,750
u,233,1042
u,1486,2359
u,2273,1759
u,2118,2004
u,1528,2203
u,1024,2129
u,894,717
u,553,1107
u,967,292
u,204,1310
u,7,1574
u,1935,747
u,2157,302
u,2047,1290
u,6,1831
u,1871,1504
u,1016,1270
u,796,2408
u,108,610
u,2339,809
u,660,815
u,832,1070
u,278,32
u,1435,1110
u,2424,1252
u,1016,1773
k,1000,800
k,1400,400
k,1750,1800
k,1580,1200
k,2200,2200
k,2028,2398
k,2028,2368
k,2028,2338
k,2028,2308
k,2028,2278
k,2028,2248
k,2028,2218
k,2028,2188
k,2028,2158
k,2028,2128
k,2028,2098
k,2028,2068
k,2028,2038
k,2028,2028
k,2398,2028
k,2368,2028
k,2338,2028
k,2308,2028
k,2278,2028
k,2248,2028
k,2218,2028
k,2188,2028
k,2158,2028
k,2128,2028
k,2098,2028
k,2068,2028
k,2038,2028
